	Cluster	week	outlier
SRR10903401	C04	2	0
SRR10903402	C04	NA	0
SRR10971381	C04	NA	0
SRR11092062	C04	NA	0
SRR11140750	C04	NA	0
SRR11177792	C04	NA	0
SRR11241254	C04	NA	0
SRR11241255	C02	8	0
SRR11247076	C02	8	0
SRR11247077	C02	NA	0
SRR11247078	C02	8	0
SRR11278091	C02	NA	0
SRR11278092	C02	NA	0
SRR11278164	C02	NA	0
SRR11278165	C02	NA	0
SRR11278166	C02	NA	0
SRR11278167	C02	NA	0
SRR11426417	C04	NA	0
SRR11454607	C01	5	0
SRR11454608	C04	NA	0
SRR11454610	C01	NA	0
SRR11454613	C04	0	0
SRR11454614	C04	NA	0
SRR11454615	C04	NA	0
SRR11528306	C04	NA	0
SRR11528307	C04	8	0
SRR11570921	C04	NA	0
SRR11621803	C12	NA	0
SRR11621805	C15	NA	0
SRR11621806	C11	NA	0
SRR11621807	C10	NA	0
SRR11621808	C15	NA	0
SRR11621809	C15	NA	0
SRR11621810	C15	NA	0
SRR11621811	C07	NA	0
SRR11621812	C08	NA	0
SRR11621814	C11	NA	0
SRR11621815	C12	NA	0
SRR11621816	C04	NA	0
SRR11621817	C11	NA	0
SRR11621818	C11	NA	0
SRR11621819	C15	NA	0
SRR11621820	C04	NA	0
SRR11621821	C02	NA	0
SRR11621822	C12	NA	0
SRR11621823	C11	NA	0
SRR11621826	C02	NA	0
SRR11621827	C02	NA	0
SRR11621828	C12	NA	0
SRR11621829	C12	NA	0
SRR11621830	C11	NA	0
SRR11621831	C12	NA	0
SRR11621832	C12	NA	0
SRR11621833	C12	NA	0
SRR11621834	C11	NA	0
SRR11621835	C12	NA	0
SRR11621838	C12	NA	0
SRR11621839	C12	NA	0
SRR11621840	C11	NA	0
SRR11621842	C11	NA	0
SRR11621843	C11	NA	0
SRR11621844	C11	NA	0
SRR11621845	C11	NA	0
SRR11621846	C15	NA	0
SRR11621847	C12	NA	0
SRR11621848	C12	NA	0
SRR11621849	C11	NA	0
SRR11621851	C11	NA	0
SRR11621852	C12	NA	0
SRR11621854	C11	NA	0
SRR11621856	C18	NA	0
SRR11621857	C11	NA	0
SRR11621859	C08	NA	0
SRR11621861	C11	NA	0
SRR11621862	C12	NA	0
SRR11621864	C15	NA	0
SRR11621865	C11	NA	0
SRR11621866	C10	NA	0
SRR11621867	C11	NA	0
SRR11621868	C07	NA	0
SRR11621869	C02	NA	0
SRR11621870	C11	NA	0
SRR11621871	C10	NA	0
SRR11621872	C11	NA	0
SRR11621873	C11	NA	0
SRR11621874	C18	NA	0
SRR11621875	C02	NA	0
SRR11621876	C07	NA	0
SRR11621877	C12	NA	0
SRR11621878	C12	NA	0
SRR11621880	C11	NA	0
SRR11621882	C11	NA	0
SRR11621883	C12	NA	0
SRR11621886	C11	NA	0
