	nCluster	inference
43_T_C	1	0
44_C_T	1	0
45_G_T	1	0
47_T_C	1	0
57_A_G	1	0
66_C_T	1	0
71_C_A	1	0
71_C_T	1	0
74_A_G	1	0
124_G_A	1	0
140_C_T	1	0
142_A_G	1	0
151_C_T	1	0
152_G_A	1	0
156_A_G	1	0
157_C_T	1	0
160_G_A	1	0
169_A_G	1	0
169_A_T	1	0
176_C_G	1	0
186_C_T	2	0
187_A_G	1	0
191_T_A	1	0
198_G_A	1	0
199_G_T	1	0
203_C_T	1	0
206_C_T	1	0
208_G_T	1	0
209_T_C	1	0
212_T_A	2	0
219_G_T	1	0
222_C_T	1	0
233_C_T	3	0
241_C_T	13	1
263_A_G	1	0
269_G_T	1	0
295_G_C	1	0
300_C_A	1	0
300_C_T	3	0
301_A_G	1	0
302_C_A	1	0
303_A_C	1	0
306_T_A	1	0
306_T_G	1	0
308_C_A	2	0
313_C_T	1	0
319_G_A	1	0
320_C_T	1	0
334_T_C	1	0
335_C_T	1	0
337_C_T	1	0
343_G_T	1	0
344_C_T	5	0
346_C_G	1	0
346_C_T	2	0
348_T_G	1	0
354_G_C	12	0
374_G_A	1	0
379_C_A	2	0
379_C_T	1	0
389_G_C	2	0
396_A_G	8	0
400_T_C	1	0
403_T_C	1	0
404_A_T	3	0
406_A_G	1	0
425_G_T	1	0
428_G_A	1	0
436_A_C	1	0
438_A_C	1	0
449_C_T	2	0
474_T_C	1	0
478_C_T	1	0
484_T_C	1	0
488_G_A	1	0
490_T_A	2	0
495_G_A	1	0
495_G_C	1	0
505_T_C	2	0
510_G_C	3	0
512_C_T	1	0
514_T_C	1	0
527_C_T	1	0
528_T_A	1	0
539_C_T	1	0
551_C_T	1	0
556_C_T	1	0
565_T_C	1	0
582_T_C	1	0
586_T_C	1	0
588_T_C	2	0
592_T_A	1	0
593_C_T	2	0
601_C_A	1	0
601_C_T	1	0
612_T_C	1	0
619_C_T	1	0
626_G_A	1	0
627_T_C	2	0
629_C_T	1	0
631_T_G	1	0
635_C_T	1	0
636_G_T	1	0
646_T_C	1	0
649_T_A	1	0
654_G_C	1	0
656_G_T	2	0
658_T_C	1	0
658_T_G	1	0
659_G_A	1	0
665_C_T	1	0
673_C_T	1	0
675_G_A	2	0
675_G_C	1	0
675_G_T	1	0
677_G_A	1	0
679_C_T	2	0
680_G_A	2	0
683_C_T	2	0
693_T_G	1	0
706_C_T	1	0
720_A_G	1	0
726_A_T	3	0
740_G_A	1	0
741_A_G	1	0
745_C_T	1	0
748_G_A	1	0
756_A_G	1	0
761_A_G	1	0
764_A_G	1	0
777_G_A	1	0
799_C_T	1	0
806_G_A	1	0
809_T_C	1	0
823_C_T	6	0
829_C_T	1	0
831_A_C	1	0
833_T_C	2	1
834_T_C	1	0
835_C_T	2	0
843_C_A	1	0
851_T_C	2	0
860_G_A	1	0
860_G_T	1	0
862_G_A	1	0
864_G_T	2	0
865_C_T	1	0
872_G_T	1	0
873_A_T	7	0
874_C_A	1	0
875_C_T	1	0
877_T_C	1	0
879_T_C	1	0
880_A_C	1	0
884_C_T	1	0
885_G_T	1	0
896_G_T	1	0
899_T_A	1	0
900_C_T	1	0
905_A_C	1	0
908_T_C	3	0
910_G_T	1	0
913_C_T	1	0
920_C_A	1	0
920_C_T	1	0
921_T_G	2	0
923_G_A	1	0
924_A_T	8	0
930_T_A	4	0
932_G_C	1	0
936_C_T	1	0
937_T_C	1	0
949_A_C	1	0
951_A_G	3	0
951_A_T	1	0
958_C_A	1	0
960_G_A	4	0
963_A_T	1	0
970_G_C	3	0
991_G_A	1	0
993_A_C	9	0
1000_T_C	1	0
1003_A_T	4	0
1005_A_G	2	0
1006_G_T	1	0
1008_G_C	1	0
1021_G_T	1	0
1030_T_C	1	0
1031_G_C	2	0
1035_T_C	1	0
1039_A_G	1	0
1056_A_G	1	0
1057_C_T	2	0
1059_C_T	15	1
1060_C_T	2	0
1063_C_T	1	0
1064_A_G	1	0
1077_C_A	1	0
1079_A_C	1	0
1084_T_C	3	0
1091_C_T	1	0
1103_A_G	1	0
1115_A_T	2	0
1117_T_C	1	0
1125_G_T	1	0
1129_T_C	1	0
1132_A_G	1	0
1133_A_T	2	0
1139_A_T	1	0
1140_A_G	1	0
1146_A_G	2	0
1148_G_T	5	0
1155_T_C	1	0
1163_A_T	1	0
1170_C_T	1	0
1181_G_T	1	0
1185_C_T	1	0
1186_G_A	1	0
1186_G_T	1	0
1188_C_T	1	0
1191_C_T	2	0
1192_A_G	1	0
1192_A_T	1	0
